Genes,16BJ65M,16BJ67M,16BJ69M,16BJ70M,H1M,H3M,H4.1M,H4.2M,QHH021M,QHH025M,QHH028M,QHH029M
PMO000001,169.57,263.38,559.49,438.61,1125.01,1091.37,613.08,1014.19,1182.1,587.83,539.88,587.65
PMO000002,77.07,125.88,154.24,242.3,377.34,390.13,147.54,352.65,351.27,217.25,278.28,251.14
PMO000003,8.86,17.28,19.47,14.21,14.19,16.3,6.82,10.81,8.79,19.62,13.98,12.71
PMO000004,316.3,425.04,457.94,382.46,686.25,562.88,222,514.95,570.85,492.9,258.2,485.27
PMO000005,38.59,56.49,60.57,46.07,20.52,16.84,11.61,24.6,37.37,41.22,32.62,19.78
PMO000006,4.04,3.1,6.16,8.92,38.09,23.15,8.53,26.08,71.88,28.93,35.71,13.58
PMO000007,242.04,589.11,575.48,346.5,69.39,68.71,34.79,68.44,76.33,84.22,98.69,150.63
PMO000008,0.92,7.63,7.5,5.64,1.92,1.79,0.82,1.34,0.73,2.18,2.55,5.61
PMO000009,4.41,5.65,4.39,4.06,1.97,1.22,2.2,0.92,0.53,1.83,1.75,2.09
PMO000010,68.82,113.84,131.87,156.27,214.53,207.41,142.55,232.88,268.45,160.36,197.29,159.6
PMO000011,0,0,0,0.1,0,0,0,0,0,0,0,0
PMO000012,0,0,0,0,0,0,0,0,0,0,0,0
PMO000013,15.3,5.38,5.08,7.17,2.84,3.79,1.43,4.36,2.83,3.68,4.97,6.88
PMO000014,1.12,10.51,6.8,2.24,2.43,1.13,0.24,1.94,3.9,3.36,2.78,1.69
PMO000015,4.63,6.45,14.47,13.95,12.54,10.57,2.52,5.65,9.49,7.8,14.23,11.12
PMO000016,0,0,0,0,0,1.08,0,0.77,0.89,2.11,0,0
PMO000017,0,0,0,0,0,0.1,0,0,0,0,0,0
PMO000018,0,0,0,0,0.19,0,0,0,0,0,0,0
PMO000019,0,0,0,0.05,0.07,0.06,0.06,0.07,0,0,0,0
PMO000020,4.63,20.54,23.47,16.34,10.11,9.65,4.36,9.52,18.29,11.37,5.34,15.3
PMO000021,0,0,0,0,0,0,0,0,0,0,0,0
PMO000022,0,0.57,1.23,0.46,0.58,0.54,0,0,0.67,0,0,0.52
PMO000023,0,0,0,0,0,0,0,0,0,0,0,0.17
PMO000024,0,0,0,0,0,0,0,0,0,0,0,0
PMO000025,66.3,64.7,113.92,78.98,82.51,101.07,38.46,66.09,79.55,80.35,94.07,82.31
PMO000026,108.68,81.03,83.49,129.37,71.22,62.6,41.23,50.39,70.59,78.23,77.37,82.02
PMO000027,7.62,9.29,3.78,5.69,57.23,26.05,139.45,52.46,28.8,6.77,11.53,8.52
PMO000028,0.75,0.35,0.16,1.89,0.08,0,0,0,0.43,0.47,0.36,0.07
PMO000029,0.47,0,0.43,0.21,0.28,0.52,0.27,0.14,0.32,0.59,0.4,0.24
PMO000030,0,0,0,0,0,0,0,0,0,0,0,0.55
PMO000031,0.33,0.06,0.07,0.02,0.76,0.12,0,0.23,0.04,0,0.16,0.14
PMO000032,0.99,0.46,0.31,0.6,0.7,0.93,0.19,0.4,2.16,0.52,1.13,0.43
PMO000033,0,0.95,0,0,0.33,0.31,0,0.33,0,0.36,0,0.58
PMO000034,0,0,0,0,0,0,0,0,0,0,0,0
PMO000035,0,0,0.07,0,0,0,0,0,0,0,0,0.06
PMO000036,3.94,8.63,5.86,5.66,1.88,1.81,1.51,2.51,2.67,4.17,3.9,5.63
PMO000037,37.5,75.13,45.74,54.85,25.04,27.66,6.29,35.02,15.84,30.62,45.59,37.72
PMO000038,1.13,3.52,1.04,2.39,1.01,0.82,0.25,0.88,0,0.13,0.24,0.33
PMO000039,3.88,4.37,8.7,8.32,6.09,4.31,3.22,3.48,5.12,6.31,4.05,6.39
PMO000040,19.2,12.15,14.64,12.24,16.65,11.44,2.69,2.86,8.34,8.41,14.06,7.82
PMO000041,0,0,0,0,0,0,0,0,0,0,0,0
