gene_id,16BJ65H,16BJ69H,16BJ70H,H1H,H3H,H4_2H,QHH021H,QHH025H,QHH029H
PMO000001,372.9,540.08,446.41,658.24,505.85,547.45,622.8,294.42,608.49
PMO000002,657.38,623.81,685.29,531.85,281.87,465.79,441.61,237.72,528.89
PMO000003,35.34,36.15,29.29,20.97,16.38,18.32,19,43.55,29.97
PMO000004,0.77,1.4,0.82,2.31,2.05,3.42,2.68,3.81,2.74
PMO000005,72.42,61.95,61.21,34.05,16.37,33.11,44.42,35.53,52.97
PMO000006,28.35,39.38,31.9,20.43,27.48,31.62,62.21,10.13,20.24
PMO000007,116.4,147.98,105.08,82.67,78.46,90.07,89,61.89,61.97
PMO000008,1.71,2.52,3.67,2.36,2.03,2.54,2.9,6.75,2.94
PMO000009,4.93,4.66,7.68,3.08,4.77,1.67,2.13,8.79,4.39
PMO000010,147.68,143.28,177.7,180.42,104.66,168.66,162.02,86.62,137.09
PMO000011,0.27,0.31,0.29,0.27,0.28,0,0.29,0.17,0
PMO000012,0,0,0,0,0,0,0,0,0
PMO000013,7.47,7.37,6.18,3.41,6.02,7.45,7.46,10.7,4.63
PMO000014,4.86,6.66,6.74,3.64,2.98,4.34,4.23,11.51,6.09
PMO000015,6.86,13.77,4.79,8.97,6.54,2.9,12.35,8.84,8.65
PMO000016,0,0,0,0,0.79,0,0.85,0,0
PMO000017,0,0.25,0.36,0,1.83,0.62,0,2.34,1.4
PMO000018,0,0,0,0,0,0,0,0,0
PMO000019,0,0.22,0.14,0.07,0.07,0.07,0.14,0.24,0.21
PMO000020,10.65,19.77,24.39,17.78,18.51,19.9,27.22,28.22,25
PMO000021,0,0,0,0,0,0,0,0,0
PMO000022,0,0.68,0.63,0,0.6,0,1.29,0,0.61
PMO000023,0,0.22,0,0.79,0.4,0.66,0,4.39,0.41
PMO000024,0,0,0,0,0,0,0,0,0
PMO000025,40.58,64.13,38.68,64.33,60.59,47.45,43.37,28.83,38.65
PMO000026,100.6,93.1,42.85,69.6,72.59,86.83,89.5,84.28,109.09
